timeStamp,sessionId,participantId,action,actor,x,y,z,target
2018-04-04 11:03:38.359 +03:00,53049,C BOT,EnterTP,C,2.3,1.1,1.3,
2018-04-04 11:03:38.382 +03:00,53049,C BOT,Activated,C,2.6,1.1,1.2,
2018-04-04 11:03:38.399 +03:00,59297,D,Activated,D,4.6,1.1,0.6,
2018-04-04 11:03:38.406 +03:00,59297,D,Activated,D,4.6,1.1,0.6,
2018-04-04 11:03:38.534 +03:00,53049,C BOT,Activated,C,2.7,1.1,1.2,
2018-04-04 11:03:38.604 +03:00,55111,A BOT,EnterTP,A,2.3,1.1,0.3,
2018-04-04 11:03:38.644 +03:00,34547,A,moved,A,3.7,0.5,1.1,
2018-04-04 11:03:38.746 +03:00,55111,C,moved,C,-0.9,-0.4,-1.5,
2018-04-04 11:03:38.879 +03:00,34547,A,moved,A,3.7,0.5,1.1,
2018-04-04 11:03:38.893 +03:00,34547,D BOT,EnterTP,D,-2.4,1.1,-2.6,
